wavelength_nm,x_centroid_px,x_peak_px,displacement_px,filepath,dispersion_px_per_nm,resolution_nm
509,451.996849,451,67.032548,scan_blocks_output/B4_0501_0700/00004_0509nm.npy,0.3652537499999937,10.95129071227898
511,452.965383,451,68.001081,scan_blocks_output/B4_0501_0700/00005_0511nm.npy,0.39420375000000263,10.147036906675732
513,453.573664,451,68.609363,scan_blocks_output/B4_0501_0700/00006_0513nm.npy,0.2905147499999998,13.768664069552415
515,454.127442,451,69.163141,scan_blocks_output/B4_0501_0700/00007_0515nm.npy,0.3647997500000031,10.964919795038144
517,455.032863,451,70.068562,scan_blocks_output/B4_0501_0700/00008_0517nm.npy,0.36467050000000256,10.968806086590421
519,455.586124,451,70.621823,scan_blocks_output/B4_0501_0700/00009_0519nm.npy,0.29743049999999016,13.448519906331503
521,456.222585,451,71.258284,scan_blocks_output/B4_0501_0700/00010_0521nm.npy,0.23579625000000703,16.963798194415222
523,456.529309,451,71.565008,scan_blocks_output/B4_0501_0700/00011_0523nm.npy,0.5174220000000105,7.73063379601161
525,458.292273,455,73.327972,scan_blocks_output/B4_0501_0700/00012_0525nm.npy,0.5362925000000018,7.458616333437417
527,458.674479,455,73.710178,scan_blocks_output/B4_0501_0700/00013_0527nm.npy,0.25491299999998773,15.691628124105842
529,459.311925,455,74.347624,scan_blocks_output/B4_0501_0700/00014_0529nm.npy,0.30150224999999864,13.266899334913813
531,459.880488,455,74.916187,scan_blocks_output/B4_0501_0700/00015_0531nm.npy,0.19665525000000628,20.340163814593673
533,460.098546,455,75.134245,scan_blocks_output/B4_0501_0700/00016_0533nm.npy,1.0201945000000023,3.920820980705141
535,463.961266,463,78.996965,scan_blocks_output/B4_0501_0700/00017_0535nm.npy,1.097954999999999,3.6431365584199753
537,464.490366,463,79.526065,scan_blocks_output/B4_0501_0700/00018_0537nm.npy,0.9065524999999894,4.412320301361528
539,467.587476,468,82.623175,scan_blocks_output/B4_0501_0700/00019_0539nm.npy,0.8866555000000034,4.511335011173996
541,468.036988,468,83.072687,scan_blocks_output/B4_0501_0700/00020_0541nm.npy,0.495375750000008,8.074678665639034
543,469.568979,470,84.604678,scan_blocks_output/B4_0501_0700/00021_0543nm.npy,0.5337820000000022,7.493695928300286
545,470.172116,470,85.207815,scan_blocks_output/B4_0501_0700/00022_0545nm.npy,0.2544824999999946,15.718173155325355
547,470.586909,470,85.622608,scan_blocks_output/B4_0501_0700/00023_0547nm.npy,0.21929424999999014,18.240332338856035
549,471.049293,470,86.084992,scan_blocks_output/B4_0501_0700/00024_0549nm.npy,0.23751124999999718,16.841307517012552
551,471.536954,470,86.572653,scan_blocks_output/B4_0501_0700/00025_0551nm.npy,0.2648882500000127,15.100707562528003
553,472.108846,470,87.144545,scan_blocks_output/B4_0501_0700/00026_0553nm.npy,0.2277152500000028,17.56579763542385
555,472.447815,470,87.483514,scan_blocks_output/B4_0501_0700/00027_0555nm.npy,0.8138042499999898,4.915186913806422
557,475.364063,475,90.399762,scan_blocks_output/B4_0501_0700/00028_0557nm.npy,0.9854030000000051,4.059252914797275
559,476.389427,476,91.425126,scan_blocks_output/B4_0501_0700/00029_0559nm.npy,0.3446472500000084,11.60606968429286
561,476.742652,476,91.778351,scan_blocks_output/B4_0501_0700/00030_0561nm.npy,0.18680700000000172,21.412473836633332
563,477.136655,476,92.172354,scan_blocks_output/B4_0501_0700/00031_0563nm.npy,0.18031175000000133,22.183801111130975
565,477.463899,476,92.499598,scan_blocks_output/B4_0501_0700/00032_0565nm.npy,0.2017442499999902,19.82708305193429
567,477.943632,476,92.979331,scan_blocks_output/B4_0501_0700/00033_0567nm.npy,0.22481874999999718,17.79211031108415
569,478.363174,476,93.398873,scan_blocks_output/B4_0501_0700/00034_0569nm.npy,0.18430150000000367,21.703567252572117
571,478.680838,476,93.716537,scan_blocks_output/B4_0501_0700/00035_0571nm.npy,0.14372000000000185,27.83189535207312
573,478.938054,476,93.973753,scan_blocks_output/B4_0501_0700/00036_0573nm.npy,0.1482845000000026,26.975172725402384
575,479.273976,476,94.309675,scan_blocks_output/B4_0501_0700/00037_0575nm.npy,0.1891029999999887,21.152493614592256
577,479.694466,476,94.730164,scan_blocks_output/B4_0501_0700/00038_0577nm.npy,0.16669974999999226,23.99523694546744
579,479.940775,476,94.976474,scan_blocks_output/B4_0501_0700/00039_0579nm.npy,0.11707300000000487,34.1667164931268
581,480.162758,476,95.198457,scan_blocks_output/B4_0501_0700/00040_0581nm.npy,0.8438492500000052,4.740183154751842
583,483.316172,481,98.35187,scan_blocks_output/B4_0501_0700/00041_0583nm.npy,0.848574499999998,4.713787652115411
